basis_set,n_reactions,n_converged,convergence_rate
wTZ,25,0,0.0000
"6-31G(d), 6-31+G(d), LANL2DZ",25,23,0.9200
ZORA-def2-SVP,25,5,0.2000
Lanl2TZ(f),25,0,0.0000
"sdd+6-311++G(3df,2p)",25,0,0.0000
"LanL2TZ(f), 6-311++ G(d,p), TZ2P",25,25,1.0000
Lanl2TZ(Ru),25,0,0.0000
Def2-mTZVP,24,0,0.0000
"LANL2DZ, DEF2SVP, Def2TZVP",24,0,0.0000
"6-311++g(2df,2p)",24,15,0.6250
"SDD plus pseudopotential for silver, copper and gold",24,0,0.0000
"LANL2DZ, 6-31G(d), def2-TZVP",24,0,0.0000
augmented by an f-polarization function,24,0,0.0000
adapted basis set augmented by a set of d functions,24,0,0.0000
Lanl2dzdp,24,5,0.2083
LANL2DZ for Pd,24,3,0.1250
cc-pVTZ++,24,13,0.5417
BP_TZVPD,23,0,0.0000
Triplet-ζ,23,0,0.0000
Double-ζ,23,0,0.0000
ma-ZORA-def2-TZVP,23,17,0.7391
"6-31+G(d,p), LANL2DZ+ECP",23,8,0.3478
VDZP,23,2,0.0870
lacvp,23,0,0.0000
(311111/22111/411/11),23,0,0.0000
"6-31G(d), SDD(Pd,Fe)",23,0,0.0000
